Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.672985782,0.597197247
0.673706985,0.596557262
0.680919019,0.590171116
0.685040181,0.586599192
0.686070472,0.585716955
0.689985576,0.582374525
0.686173501,0.585592064
0.690809808,0.581635361
0.6829796,0.588228096
0.67751906,0.592931081
0.6797857,0.590947431
0.669688852,0.599724764
0.682464455,0.588283861
0.680300845,0.590148891
0.678446322,0.591757657
0.674428189,0.595262372
0.679373583,0.590897479
0.679270554,0.59098709
0.678446322,0.591704199
0.673294869,0.596197017
0.675767566,0.594007464
0.679476612,0.59074717
0.686688646,0.58447692
0.68957346,0.582021503
0.688646198,0.58280414
0.698124871,0.5747823
0.704409644,0.569607902
0.695652174,0.576689469
0.701936946,0.571479448
0.703585411,0.570137357
0.704615702,0.56930248
0.693076448,0.578625755
0.707500515,0.566583595
0.704615702,0.568893824
0.699258191,0.57321938
0.705542963,0.568067416
0.704615702,0.568814
0.710591387,0.563990018
0.706676283,0.567097401
0.702864208,0.570156536
0.70585205,0.567732827
0.705130847,0.568312907
0.707706573,0.566236954
0.705491449,0.568009278
0.711209561,0.563405479
0.708942922,0.565201064
0.706779312,0.566925991
0.698021842,0.573950584
0.701421801,0.571154958
0.703791469,0.56922538
0.709045951,0.564975564
0.709973212,0.564236712
0.712033794,0.562599107
0.704512673,0.568541769
0.710488358,0.56371939
0.713373171,0.561430507
0.709767154,0.564268471
0.705542963,0.567626725
0.703791469,0.569035845
0.705027818,0.568036221
0.710694416,0.563470681
0.718524624,0.557262537
0.723366989,0.553506968
0.735833505,0.543967822
0.738821348,0.541759048
0.738821348,0.541759048
0.72985782,0.548331777
0.73531836,0.544229351
0.718730682,0.556506348
0.709252009,0.563845594
0.712239852,0.5614703
0.711827735,0.561795178
0.713785287,0.560250221
0.715021636,0.559279811
0.70698537,0.565565665
0.704306614,0.567708583
0.704409644,0.567625536
0.7102823,0.562893248
0.706779312,0.565669339
0.695549145,0.574657379
0.682876571,0.585127363
0.679064496,0.588393765
0.684422007,0.583751605
0.674016073,0.592626949
0.681125077,0.586376375
0.681537193,0.586021586
0.675767566,0.590982616
0.683391716,0.584315027
0.684318978,0.583522198
0.677106944,0.589671935
0.678034206,0.588864411
0.687718937,0.580453341
0.691840099,0.576974968
0.701112714,0.569241871
0.700803627,0.569492823
0.702349062,0.568236958
0.704615702,0.566403129
0.715742839,0.557458614
0.717803421,0.555853724
0.722130641,0.552502804
0.723470019,0.551478045
0.727076035,0.548729294
0.722027612,0.552539374
0.732742633,0.544339589
0.724912425,0.550156491
0.726457861,0.548983616
0.733463837,0.543689206
0.735833505,0.54193266
0.727179064,0.548306553
0.728621471,0.547218951
0.728415413,0.547373708
0.731197198,0.545283313
0.728621471,0.547204137
0.729239646,0.54673988
0.729342675,0.546662635
0.734597156,0.542724254
0.730785081,0.545540635
0.736657737,0.541156621
0.736966825,0.540929562
0.731918401,0.544635077
0.727282094,0.548085046
